Column type;Active phase;I
Capillary;DB-FFAP;896
Capillary;FFAP;889
Capillary;DB-Wax;891
Capillary;DB-Wax;894
Capillary;CP-Wax 52CB;889
Capillary;DB-Wax;900
Capillary;Supelcowax-10;886
Capillary;Stabilwax;914
Capillary;DB-Wax;890
Capillary;DB-Wax;908
Capillary;DB-Wax;893
Capillary;DB-Wax;878
Capillary;Carbowax;900
Capillary;DB-Wax;898
Capillary;DB-Wax;893
Capillary;CP-Wax 52CB;870
Capillary;DB-Wax;901
Capillary;DB-Wax;904
Capillary;DB-Wax;901
Capillary;DB-Wax;880
Capillary;FFAP;894
Capillary;DB-Wax;870
Capillary;PEG-20M;891
Capillary;DB-Wax;863
Capillary;DB-Wax;891
Capillary;DB-Wax;882
Capillary;DB-Wax;863
Capillary;DB-Wax;887
Capillary;DB-Wax;888
Capillary;DB-Wax;888
Capillary;DB-Wax;890
Capillary;HP-20M;907
Capillary;HP-FFAP;902
Capillary;DB-Wax;885
Capillary;DB-Wax;884
Capillary;CP-Wax 52CB;870
Capillary;Carbowax 20M;870
Capillary;Carbowax 20M;872
Capillary;DB-Wax;867
Capillary;DB-Wax;867
Capillary;DB-Wax;881
Capillary;Supelcowax-10;890
Capillary;Supelcowax-10;893
Capillary;Carbowax 20M;854
Capillary;Carbowax 20M;882
Capillary;OV-351;892
Capillary;Carbowax 20M;881
Packed;Carbowax 20M;866
