Id,Capolino,PesoPrimaPulituraG,PesoDopoPulituraG,LarghCapolinoCm,AltezzaCapolinoCm,SampleCode,SamplingMonth
1,mammola,179.46,73.82,8.1,8.4,MZFCUP1,May
2,mammola,206.33,81.04,8.1,8.3,MZFCUP1,May
3,mammola,231.42,72.13,8.2,8.4,MZFCUP1,May
4,mammola,259.94,82.04,8.6,9.1,MZFCUP1,May
5,mammola,183.53,69.02,7.5,7.8,MZFCUP1,May
6,mammola,209.74,84.32,8.2,8.3,MZFCUP1,May
7,mammola,204.75,71.99,7.9,7.9,MZFCUP1,May
8,mammola,195.99,62.87,7.8,8.2,MZFCUP1,May
9,mammola,173.12,73.14,7.8,8.1,MZFCUP1,May
10,mammola,239.72,79.27,7.8,8.6,MZFCUP1,May
11,mammola,226.74,71.48,8.1,7.8,MZFCUP1,May
12,mammola,212.81,56.59,7.8,7.7,MZFCUP1,May
13,mammola,192.2,89.66,7.9,8.7,MZFCUP1,May
14,mammola,158.43,65.43,7.6,7.6,MZFCUP1,May
15,mammola,203,80.7,7.4,7.8,MZFCUP1,May
16,mammola,188.7,74.23,7.6,7.1,MZFCUP1,May
17,mammola,206.43,82.02,7.8,7.8,MZFCUP1,May
18,mammola,335.1,113.5,9.4,7.3,MZFCUP1,May
19,mammola,325.7,113.8,9.7,7.3,MZFCUP1,May
20,mammola,365.1,113.8,9.5,7.3,MZFCUP1,May
21,mammola,295.4,113.4,9.7,7.2,MZFCUP1,May
22,mammola,155.1,113.7,9.5,7.4,MZFCUP1,May
23,mammola,194.6,113.6,9,7.2,MZFCUP1,May
24,mammola,185.1,113.3,9.7,7.5,MZFCUP1,May
25,mammola,174.8,113.4,9.9,7.2,MZFCUP1,May
26,mammola,225,113,9.6,7.2,MZFCUP1,May
27,mammola,365,113.4,9.6,7.4,MZFCUP1,May
28,mammola,255.2,113.5,9.5,7.2,MZFCUP1,May
29,mammola,275.2,113.4,9.4,7.2,MZFCUP1,May
30,mammola,314.7,113.2,9.6,7.2,MZFCUP1,May
31,secondo,344.8,113.1,9.6,7.2,MZFCUP1,May
32,secondo,295.4,113.4,9.5,7.4,MZFCUP1,May
33,secondo,275.2,114.1,9.5,7.1,MZFCUP1,May
34,secondo,295.5,114.2,9.4,7.2,MZFCUP1,May
35,secondo,244.9,113.1,9.5,7.1,MZFCUP1,May
36,secondo,315,113.2,9.2,7.2,MZFCUP1,May
37,secondo,325.5,113.5,9.3,7.2,MZFCUP1,May
38,secondo,184.9,113.1,9.5,7.1,MZFCUP1,May
39,secondo,214.4,113,9.3,7.2,MZFCUP1,May
40,secondo,175.1,113.4,9.5,7.2,MZFCUP1,May
