Tesi,ΔE,L*
MZFCUP1,ΔE1 ,6.209988807
MZFCUP1,ΔE2,2.707388631
MZFCUP1,ΔE3,5.323170677
MZFCUP1,ΔE4,9.320853182
MZFCUP1,ΔE5,2.940236858
MZFCUP1,ΔE6,2.079367039
MZFCUP1,ΔE7,9.60274189
MZFCUP2,ΔE1 ,2.070133365
MZFCUP2,ΔE2,2.353807247
MZFCUP2,ΔE3,5.55553962
MZFCUP2,ΔE4,11.84776052
MZFCUP2,ΔE5,1.40043541
MZFCUP2,ΔE6,7.620183236
MZFCUP2,ΔE7,1.718596913
MZFCUP3,ΔE1 ,8.312997198
MZFCUP3,ΔE2,8.322379398
MZFCUP3,ΔE3,5.329952308
MZFCUP3,ΔE4,2.587416982
MZFCUP3,ΔE5,13.29871115
MZFCUP3,ΔE6,11.04990154
MZFCUP3,ΔE7,10.55146345
MZFVST,ΔE1 ,8.588979873
MZFVST,ΔE2,1.756259871
MZFVST,ΔE3,11.96417817
MZFVST,ΔE4,6.611992314
MZFVST,ΔE5,8.407422574
MZFVST,ΔE6,5.424252322
MZFVST,ΔE7,21.5117142
MZFMTD,ΔE1 ,5.113701367
MZFMTD,ΔE2,3.589426369
MZFMTD,ΔE3,5.11245994
MZFMTD,ΔE4,3.125795957
MZFMTD,ΔE5,4.557427953
MZFMTD,ΔE6,5.771033217
MZFMTD,ΔE7,3.52951983
MZFMNB,ΔE1 ,1.357723135
MZFMNB,ΔE2,11.42270189
MZFMNB,ΔE3,1.062484266
MZFMNB,ΔE4,3.105394957
MZFMNB,ΔE5,12.24391616
MZFMNB,ΔE6,3.586195075
MZFMNB,ΔE7,3.498004573
MZFMSP,ΔE1 ,5.463149092
MZFMSP,ΔE2,2.024806677
MZFMSP,ΔE3,1.210274921
MZFMSP,ΔE4,10.45758146
MZFMSP,ΔE5,5.885581566
MZFMSP,ΔE6,3.552030282
MZFMSP,ΔE7,3.166776967
MZFFUR,ΔE1 ,6.258717918
MZFFUR,ΔE2,8.118420707
MZFFUR,ΔE3,4.108254189
MZFFUR,ΔE4,13.57895542
MZFFUR,ΔE5,8.198303343
MZFFUR,ΔE6,15.64329744
MZFFUR,ΔE7,4.948795073
MLPMNB,ΔE1 ,9.699678591
MLPMNB,ΔE2,4.8174648
MLPMNB,ΔE3,2.430173782
MLPMNB,ΔE4,1.711333441
MLPMNB,ΔE5,2.067623907
MLPMNB,ΔE6,4.941646649
MLPMNB,ΔE7,5.814710076
MLPCUP3,ΔE1 ,12.41298214
MLPCUP3,ΔE2,3.437689628
MLPCUP3,ΔE3,2.739729454
MLPCUP3,ΔE4,6.273758568
MLPCUP3,ΔE5,3.242233249
MLPCUP3,ΔE6,3.363971376
MLPCUP3,ΔE7,5.063538892
MLPMSP,ΔE1 ,5.345799706
MLPMSP,ΔE2,3.428554856
MLPMSP,ΔE3,10.03106079
MLPMSP,ΔE4,8.868997176
MLPMSP,ΔE5,6.139249372
MLPMSP,ΔE6,4.728302313
MLPMSP,ΔE7,6.990165651
