Id,PesoPrimaPulituraG,PesoDopoPulituraG,LarghCapolinoCm,AltezzaCapolinoCm,Species,SamplingMonth
1,355.1,113.5,9.4,7.2,MZFCUP1,May
2,334.9,113,9.4,7.2,MZFCUP1,May
3,344.7,113.2,9.3,7.2,MZFCUP1,May
4,364.6,113.1,9.5,7.2,MZFCUP1,May
5,355,113.6,9.4,7.2,MZFCUP1,May
6,345.4,113.9,9.7,7.4,MZFCUP1,May
7,344.6,113.4,9.4,7.3,MZFCUP1,May
8,335,113.4,9.5,7.2,MZFCUP1,May
9,344.4,112.9,9.4,7.2,MZFCUP1,May
10,354.9,113.1,9.5,7.1,MZFCUP1,May
11,345.4,113.7,9.5,7.2,MZFCUP1,May
12,364.8,113.4,9.6,7.2,MZFCUP1,May
13,354.8,113,9.4,7.1,MZFCUP1,May
14,324.3,113,9.1,7.1,MZFCUP1,May
15,335.8,114,9.2,7.2,MZFCUP1,May
16,325.7,114.4,9.5,7.4,MZFCUP1,May
17,345.4,113.9,9.3,7.4,MZFCUP1,May
18,335.1,113.5,9.4,7.3,MZFCUP1,May
19,325.7,113.8,9.7,7.3,MZFCUP1,May
20,365.1,113.8,9.5,7.3,MZFCUP1,May
21,295.4,113.4,9.7,7.2,MZFCUP1,May
22,155.1,113.7,9.5,7.4,MZFCUP1,May
23,194.6,113.6,9,7.2,MZFCUP1,May
24,185.1,113.3,9.7,7.5,MZFCUP1,May
25,174.8,113.4,9.9,7.2,MZFCUP1,May
26,225,113,9.6,7.2,MZFCUP1,May
27,365,113.4,9.6,7.4,MZFCUP1,May
28,255.2,113.5,9.5,7.2,MZFCUP1,May
29,275.2,113.4,9.4,7.2,MZFCUP1,May
30,314.7,113.2,9.6,7.2,MZFCUP1,May
31,344.8,113.1,9.6,7.2,MZFCUP1,May
32,295.4,113.4,9.5,7.4,MZFCUP1,May
33,275.2,114.1,9.5,7.1,MZFCUP1,May
34,295.5,114.2,9.4,7.2,MZFCUP1,May
35,244.9,113.1,9.5,7.1,MZFCUP1,May
36,315,113.2,9.2,7.2,MZFCUP1,May
37,325.5,113.5,9.3,7.2,MZFCUP1,May
38,184.9,113.1,9.5,7.1,MZFCUP1,May
39,214.4,113,9.3,7.2,MZFCUP1,May
40,175.1,113.4,9.5,7.2,MZFCUP1,May
41,215,113.5,9.3,7.3,MZFCUP1,May
42,234.5,112.3,9.3,7.3,MZFCUP1,May
43,314.4,113.2,9.3,7.2,MZFCUP1,May
44,305,113.5,9.6,7.6,MZFCUP1,May
45,275.1,113.8,9.9,7.4,MZFCUP1,May
46,264.8,113,9.4,7.3,MZFCUP1,May
47,325.1,113.8,9.6,7.2,MZFCUP1,May
48,314.6,113.2,9.4,7.2,MZFCUP1,May
49,295.3,113.7,9.5,7.2,MZFCUP1,May
50,295,113.3,9.4,7.2,MZFCUP1,May
51,297,113.2,12.7,8.4,MZFCUP2,June
52,296.4,113.2,12.5,8.5,MZFCUP2,June
53,296.9,113.1,12.9,8.5,MZFCUP2,June
54,295.5,112.3,12,8.3,MZFCUP2,June
55,296.5,112.8,12.6,8.5,MZFCUP2,June
56,295.7,112.8,12.5,8.3,MZFCUP2,June
57,296.3,113.3,12.7,8.6,MZFCUP2,June
58,294.9,112.4,11.3,8,MZFCUP2,June
59,296.6,112.9,12.6,8.3,MZFCUP2,June
60,295.2,112.7,11.9,8.4,MZFCUP2,June
61,295,112,11.5,8,MZFCUP2,June
62,295.9,113,12.2,8.5,MZFCUP2,June
63,296,112.2,12,8,MZFCUP2,June
64,296.1,112.9,12.7,8.4,MZFCUP2,June
65,295.6,112.9,11.6,8.3,MZFCUP2,June
66,296.7,113.1,12.4,8.4,MZFCUP2,June
67,295.6,113,12.5,8.5,MZFCUP2,June
68,295.8,112.7,12.1,8,MZFCUP2,June
69,296.2,112.2,12.5,8.5,MZFCUP2,June
70,295.6,112.5,11.9,8.1,MZFCUP2,June
71,295.9,113.2,12.8,8.8,MZFCUP2,June
72,296.1,112.8,12,8.3,MZFCUP2,June
73,296.3,112.5,12.9,8.5,MZFCUP2,June
74,296.1,112.8,12.7,8.2,MZFCUP2,June
75,296.4,112.9,12.3,8.3,MZFCUP2,June
76,296.6,113,12.4,8.4,MZFCUP2,June
77,296.8,112.8,12.8,8.4,MZFCUP2,June
78,296.7,113,13,8.7,MZFCUP2,June
79,296,112.9,12.5,8.5,MZFCUP2,June
80,295.7,112.6,11.5,8,MZFCUP2,June
81,295.5,112.4,11.8,8.1,MZFCUP2,June
82,295.5,112.4,11.7,8,MZFCUP2,June
83,295.8,112.7,11.9,8.2,MZFCUP2,June
84,296,112.7,13.1,8.6,MZFCUP2,June
85,295.4,113,12.5,8.5,MZFCUP2,June
86,296,113.4,12.5,8.6,MZFCUP2,June
87,296.7,113.1,12.7,8.5,MZFCUP2,June
88,296.3,112.3,12.4,8.3,MZFCUP2,June
89,295.6,113,12.1,8.3,MZFCUP2,June
90,295.5,112.5,12,8.3,MZFCUP2,June
91,295.5,112.6,12.4,8.2,MZFCUP2,June
92,296.1,113,12.6,8.4,MZFCUP2,June
93,295.8,112.6,12,8.2,MZFCUP2,June
94,295,112.3,11.3,8,MZFCUP2,June
95,295.6,112.7,12.2,8.3,MZFCUP2,June
96,295.7,113,12.2,8.2,MZFCUP2,June
97,295.7,112.9,12.2,8.3,MZFCUP2,June
98,296.2,112.9,12.3,8.3,MZFCUP2,June
99,295.1,112.5,11,8.1,MZFCUP2,June
100,295.7,112.8,12.1,8.3,MZFCUP2,June
101,296.3,113.3,14,9.5,MZFCUP3,April
102,295.8,112.7,13.1,8.9,MZFCUP3,April
103,297.1,113,13.9,9.1,MZFCUP3,April
104,296.3,112.9,13.6,8.8,MZFCUP3,April
105,296.5,113,13.8,9.2,MZFCUP3,April
106,297.6,113,14.6,9.1,MZFCUP3,April
107,294.9,112.5,12.5,8.7,MZFCUP3,April
108,297.3,112.9,14.3,8.8,MZFCUP3,April
109,296.7,112.5,13.8,8.8,MZFCUP3,April
110,297.2,113.6,14.1,9.5,MZFCUP3,April
111,296.5,113.2,13.1,9,MZFCUP3,April
112,296.4,112.7,13.3,8.9,MZFCUP3,April
113,296.8,113,13.5,9.1,MZFCUP3,April
114,295.7,112.5,13,9,MZFCUP3,April
115,295.8,112.8,13.1,9.4,MZFCUP3,April
116,296.4,113.2,13.3,9.3,MZFCUP3,April
117,296.5,113,13.5,8.8,MZFCUP3,April
118,297.7,113.8,14.7,9.2,MZFCUP3,April
119,297.7,112.6,14.9,9.3,MZFCUP3,April
