Varietà,Provenienza,Mammola/secondo,Foglia (No),Punto di acquisizione misura,L* stand,a* stand,b* stand
MZF,CUP1,M,F1,B,-1.046337519,0.772543524,-1.067652213
MZF,CUP1,M,F2,B,-1.881196296,2.277043632,-1.288347488
MZF,CUP1,M,F3,B,-0.500106514,0.123519059,-0.457687423
MZF,CUP1,M,F4,B,-1.160222441,1.324401859,-0.901360698
MZF,CUP1,M,F5,B,-0.335824333,1.106398299,-0.258323486
MZF,CUP1,M,F6,B,1.286876232,-1.395284312,1.238473948
MZF,CUP1,M,F7,B,1.334103011,-1.109354734,1.421293633
MZF,CUP1,M,F8,B,1.981068261,-1.045754375,2.104652186
MZF,CUP2,M,F1,B,-0.732095476,0.271447521,-0.92536556
MZF,CUP2,M,F2,B,-0.333945425,-0.345313635,-0.546867214
MZF,CUP2,M,F3,B,-0.431291307,-0.22462713,-0.701467879
MZF,CUP2,M,F4,B,-0.2723757,-0.473938311,-0.22907704
MZF,CUP2,M,F5,B,0.248593654,-0.986823416,0.305641157
MZF,CUP2,M,F6,B,0.57686562,-1.185786221,0.471282464
MZF,CUP2,M,F7,B,1.567022952,-1.335774588,1.600018975
MZF,CUP2,M,F8,B,1.443307609,-0.509892663,1.571212398
MZF,CUP3,M,F1,B,-0.073654797,-0.936539516,-0.263518063
MZF,CUP3,M,F2,B,-0.241958516,-0.59488267,-0.521822025
MZF,CUP3,M,F3,B,-0.823458,0.411363992,-1.054371546
MZF,CUP3,M,F4,B,-1.177102772,1.126011986,-1.182015488
MZF,CUP3,M,F5,B,-0.75208491,0.558758394,-0.682089591
MZF,CUP3,M,F6,B,0.206283237,1.304614104,0.305979399
MZF,CUP3,M,F7,B,0.340177575,0.397811709,0.294901615
MZF,CUP3,M,F8,B,0.777355853,0.470057493,0.766509938
