Varietà,Provenienza,Mammola/secondo,L* stand,a* stand,b* stand
MZF,CUP1,M,-1.046.337.519,0.772543524,-1.067.652.213
MZF,CUP1,M,-1.881.196.296,2.277.043.632,-1.288.347.488
MZF,CUP1,M,-0.500106514,0.123519059,-0.457687423
MZF,CUP1,M,-1.160.222.441,1.324.401.859,-0.901360698
MZF,CUP1,M,-0.335824333,1.106.398.299,-0.258323486
MZF,CUP1,M,1.286.876.232,-1.395.284.312,1.238.473.948
MZF,CUP1,M,1.334.103.011,-1.109.354.734,1.421.293.633
MZF,CUP1,M,1.981.068.261,-1.045.754.375,2.104.652.186
MZF,CUP2,M,-0.732095476,0.271447521,-0.92536556
MZF,CUP2,M,-0.333945425,-0.345313635,-0.546867214
MZF,CUP2,M,-0.431291307,-0.22462713,-0.701467879
MZF,CUP2,M,-0.2723757,-0.473938311,-0.22907704
MZF,CUP2,M,0.248593654,-0.986823416,0.305641157
MZF,CUP2,M,0.57686562,-1.185.786.221,0.471282464
MZF,CUP2,M,1.567.022.952,-1.335.774.588,1.600.018.975
MZF,CUP2,M,1.443.307.609,-0.509892663,1.571.212.398
MZF,CUP3,M,-0.073654797,-0.936539516,-0.263518063
MZF,CUP3,M,-0.241958516,-0.59488267,-0.521822025
MZF,CUP3,M,-0.823458,0.411363992,-1.054.371.546
MZF,CUP3,M,-1.177.102.772,1.126.011.986,-1.182.015.488
MZF,CUP3,M,-0.75208491,0.558758394,-0.682089591
MZF,CUP3,M,0.206283237,1.304.614.104,0.305979399
MZF,CUP3,M,0.340177575,0.397811709,0.294901615
MZF,CUP3,M,0.777355853,0.470057493,0.766509938
