Id,L*,a*,b*,Sample,Sezione,Capolino,Foglie
1,48.39457398,-7.433476532,16.4426858,MZFCUP1,Apicale,Mammola,F1
2,48.2701142,-5.986914221,14.49953503,MZFCUP1,Apicale,Mammola,F1
3,48.41965903,-6.822595586,15.62323649,MZFCUP1,Apicale,Mammola,F1
4,47.9014584,-2.53692268,9.354791462,MZFCUP1,Apicale,Mammola,F2
5,44.47290595,-4.552044993,13.26180887,MZFCUP1,Apicale,Mammola,F2
6,44.88131853,-1.878261928,11.35342234,MZFCUP1,Apicale,Mammola,F2
7,44.30455226,-3.619359779,13.44421964,MZFCUP1,Apicale,Mammola,F3
8,43.90271161,-3.053647731,13.25926638,MZFCUP1,Apicale,Mammola,F3
9,43.40855569,-2.953204077,13.07405446,MZFCUP1,Apicale,Mammola,F3
10,40.36433256,-0.407626429,10.65316198,MZFCUP1,Apicale,Mammola,F4
11,40.09776053,-0.321451752,10.59119578,MZFCUP1,Apicale,Mammola,F4
12,40.26260944,-0.2750847,10.65478437,MZFCUP1,Apicale,Mammola,F4
13,44.94722263,-5.015606792,17.23376937,MZFCUP1,Apicale,Mammola,F5
14,44.74062029,-5.072616313,17.27926261,MZFCUP1,Apicale,Mammola,F5
15,44.68839638,-5.060509608,17.2725735,MZFCUP1,Apicale,Mammola,F5
16,46.42925059,-6.748182022,19.26530505,MZFCUP1,Apicale,Mammola,F6
17,46.086956,-6.643006302,19.17027403,MZFCUP1,Apicale,Mammola,F6
18,46.30082801,-6.641266146,19.20096939,MZFCUP1,Apicale,Mammola,F6
19,43.8475619,-5.490292133,18.56500728,MZFCUP1,Apicale,Mammola,F7
20,44.41166536,-5.557550412,18.69438704,MZFCUP1,Apicale,Mammola,F7
21,45.56151996,-5.548465842,18.91294169,MZFCUP1,Apicale,Mammola,F7
22,51.78855997,-8.880764623,24.59480572,MZFCUP1,Apicale,Mammola,F8
23,51.47917987,-8.561256918,24.34988313,MZFCUP1,Apicale,Mammola,F8
24,51.65696441,-8.581415607,24.42259139,MZFCUP1,Apicale,Mammola,F8
25,35.68803217,1.997371598,10.64447856,MZFCUP2,Apicale,Mammola,F1
26,36.08422076,3.032222154,9.955710809,MZFCUP2,Apicale,Mammola,F1
27,35.7502765,3.01436215,9.937018822,MZFCUP2,Apicale,Mammola,F1
28,36.31336678,1.18606023,11.5519963,MZFCUP2,Apicale,Mammola,F2
29,36.28483325,1.223698762,11.57017644,MZFCUP2,Apicale,Mammola,F2
30,36.27721905,1.205277229,11.55308201,MZFCUP2,Apicale,Mammola,F2
31,38.51772437,1.186168498,10.89039514,MZFCUP2,Apicale,Mammola,F3
32,38.53872301,1.213486077,10.88406864,MZFCUP2,Apicale,Mammola,F3
33,38.58765706,1.128118277,10.8905769,MZFCUP2,Apicale,Mammola,F3
34,42.53180233,-0.986573928,14.20412034,MZFCUP2,Apicale,Mammola,F4
35,42.48620614,-0.928942975,14.17765254,MZFCUP2,Apicale,Mammola,F4
36,42.43444437,-0.907516489,14.18308357,MZFCUP2,Apicale,Mammola,F4
37,34.97921138,5.96849896,8.212198301,MZFCUP2,Apicale,Mammola,F5
38,34.95717973,5.994600118,8.189644684,MZFCUP2,Apicale,Mammola,F5
39,34.95717973,5.960152941,8.162642652,MZFCUP2,Apicale,Mammola,F5
40,33.9870497,6.935382531,8.657734458,MZFCUP2,Apicale,Mammola,F6
41,34.11167512,6.981646883,8.641035588,MZFCUP2,Apicale,Mammola,F6
42,34.15307948,6.979379209,8.619371168,MZFCUP2,Apicale,Mammola,F6
43,37.7327275,1.07602467,11.8901718,MZFCUP2,Apicale,Mammola,F7
44,37.81190245,1.155036113,11.87672882,MZFCUP2,Apicale,Mammola,F7
45,37.84422516,1.209180653,11.83901947,MZFCUP2,Apicale,Mammola,F7
46,36.13021126,0.610755883,11.91926804,MZFCUP2,Apicale,Mammola,F8
47,36.13595437,0.611904747,11.94126059,MZFCUP2,Apicale,Mammola,F8
48,36.22957994,0.604792003,11.94178289,MZFCUP2,Apicale,Mammola,F8
